برلين ترفض حصول شركة اميركية على رخصة تصنيع دبابة " ليوبارد " الالمانية	X VERB NOUN NOUN ADJ ADP NOUN NOUN NOUN PUNCT X PUNCT ADJ
وفي و في موازاة ذلك ، استقبل نائب رئيس الوزراء العراقي طارق عزيز اليوم الثلاثاء " جميع رؤوساء البعثات الدبلوماسية العربية لاطلاعهم ل اطلاع هم بشكل ب شكل دقيق على نص الخطاب الذي القاه ألقى ه الرئيس صدام حسين في الثامن من الشهر الحالي بمناسبة ب مناسبة ذكرى انتهاء الحرب مع ايران " .	_ CCONJ ADP NOUN DET PUNCT VERB NOUN NOUN NOUN ADJ X X NOUN NOUN PUNCT NOUN X NOUN ADJ ADJ _ ADP NOUN PRON _ ADP NOUN ADJ ADP NOUN NOUN DET _ VERB PRON NOUN X X ADP ADJ ADP NOUN ADJ _ ADP NOUN NOUN NOUN NOUN ADP NOUN PUNCT PUNCT
ونقلت و نقلت وكالة الانباء العراقية عن عزيز قوله قول ه ان " الخطاب تضمن شكوى ونقدا و نقدا لان اراضي الكويت والسعودية و السعودية واجواءهما و أجواء هما ومياههما و مياه هما الاقليمية تستخدم للعدوان ل العدوان على العراق وتقتل و تقتل مواطنيه مواطني ه وتدمر و تدمر ممتلكاته ممتلكات ه برضى ب رضى ومشاركة و مشاركة وتمويل و تمويل حكام الكويت والسعودية و السعودية " .	_ CCONJ VERB NOUN NOUN ADJ ADP NOUN _ NOUN PRON SCONJ PUNCT NOUN VERB NOUN _ CCONJ NOUN CCONJ NOUN NOUN _ CCONJ NOUN _ CCONJ NOUN PRON _ CCONJ NOUN PRON ADJ VERB _ ADP NOUN ADP NOUN _ CCONJ VERB _ NOUN PRON _ CCONJ VERB _ NOUN PRON _ ADP NOUN _ CCONJ NOUN _ CCONJ NOUN NOUN NOUN _ CCONJ NOUN PUNCT PUNCT
وقال و قال عزيز ان " استمرار حكام الكويت في نشر الافتراءات الهدف منه من ه اثارة ازمة مصطنعة واعطاء و إعطاء الذرائع للاميركيين ل الأميركيين والبريطانيين و البريطانيين لمواصلة ل مواصلة العدوان على العراق وابقاء و إبقاء الحصار على شعبه شعب ه " .	_ CCONJ VERB X SCONJ PUNCT NOUN NOUN NOUN ADP NOUN NOUN NOUN _ ADP PRON NOUN NOUN ADJ _ CCONJ NOUN NOUN _ ADP NOUN _ CCONJ NOUN _ ADP NOUN NOUN ADP NOUN _ CCONJ NOUN NOUN ADP _ NOUN PRON PUNCT PUNCT
وتدور و تدور مواجهات شبه يومية منذ نهاية العام 1998 بين العراق والطائرات و الطائرات الاميركية والبريطانية و البريطانية التي تراقب منطقتي الحظر الجوي في شمال العراق وجنوبه و جنوب ه .	_ CCONJ VERB NOUN NOUN ADJ ADP NOUN NOUN NUM ADP NOUN _ CCONJ NOUN ADJ _ CCONJ ADJ DET VERB NOUN NOUN ADJ ADP NOUN NOUN _ CCONJ NOUN PRON PUNCT
ولا و لا تعترف بغداد بهاتين ب هاتين المنطقتين اللتين لم يصدر بشأنهما ب شأن هما اي قرار دولي .	_ CCONJ PART VERB NOUN _ ADP DET NOUN DET PART VERB _ ADP NOUN PRON ADJ NOUN ADJ PUNCT
واسفرت و أسفرت الغارات الجوية الاميركية والبريطانية و البريطانية داخل الاراضي العراقية عن سقوط 302 قتيل واكثر و أكثر من 900 جريح منذ 1998 وفق تعداد وضعته وضعت ه وكالة فرانس برس بالاستناد ب الاستناد الى بيانات رسمية عراقية .	_ CCONJ VERB NOUN ADJ ADJ _ CCONJ ADJ ADP NOUN ADJ ADP NOUN NUM NOUN _ CCONJ ADJ ADP NUM NOUN ADP NUM ADP NOUN _ VERB PRON NOUN X X _ ADP NOUN ADP NOUN ADJ ADJ PUNCT
ضبط طنين ونصف و نصف الطن من المتفجرات في روسيا خلال اسبوع	NOUN NOUN _ CCONJ NOUN NOUN ADP NOUN ADP X ADP NOUN
موسكو 15 - 8 ( اف ب ) - اعلن وزير الداخلية الروسي فلاديمير روشايلو اليوم الثلاثاء انه أن ه تم ضبط اكثر من طنين ونصف و نصف الطن من المتفجرات في انحاء مختلفة من روسيا منذ انفجار عبوة ناسفة في وسط موسكو الثلاثاء الماضي .	X NUM PUNCT NUM PUNCT X X PUNCT PUNCT VERB NOUN ADJ ADJ X X NOUN NOUN _ SCONJ PRON VERB NOUN ADJ ADP NOUN _ CCONJ NOUN NOUN ADP NOUN ADP NOUN ADJ ADP X ADP NOUN NOUN ADJ ADP NOUN X NOUN ADJ PUNCT
من جهة ثانية نقل تلفزيون " ان تي في " عن خبير المتفجرات في بلدية موسكو ادولف ميشوييف قوله قول ه ان انفجار الثلاثاء الماضي الذي وقع داخل نفق تحت ساحة بوشكين في وسط موسكو نتج عن قنبلة موقوتة زنتها زنة ها 1،3 كلغ من مادة " تي ان تي " .	ADP NOUN ADJ VERB NOUN PUNCT X X X PUNCT ADP NOUN NOUN ADP NOUN X X X _ NOUN PRON SCONJ NOUN NOUN ADJ DET VERB ADP NOUN ADP NOUN X ADP NOUN X VERB ADP NOUN ADJ _ NOUN PRON NUM X ADP NOUN PUNCT X X X PUNCT PUNCT
واوضح و أوضح ان العبوة الناسفة صنعت من مزيج من البارود والنشادر و النشادر وهي و هي المادة نفسها نفس ها التي استخدمت لصنع ل صنع القنابل التي اوقعت في ايلول / سبتمبر 1999 نحو 211 قتيلا في موسكو ومناطق و مناطق روسية اخرى .	_ CCONJ VERB SCONJ NOUN ADJ VERB ADP NOUN ADP NOUN _ CCONJ NOUN _ CCONJ PRON NOUN _ NOUN PRON DET VERB _ ADP NOUN NOUN DET VERB ADP NOUN PUNCT NOUN NUM ADP NUM NOUN ADP X _ CCONJ NOUN ADJ ADJ PUNCT
واعلن و أعلن رسميا ان انفجار وسط موسكو الثلاثاء الماضي اوقع 120 ضحية بينهم بين هم 12 قتيلا وخمسون و خمسون جريحا لا يزالون في المستشفيات .	_ CCONJ VERB ADJ SCONJ NOUN NOUN X NOUN ADJ VERB NUM NOUN _ ADP PRON NUM NOUN _ CCONJ NUM NOUN PART VERB ADP NOUN PUNCT
المصري ياسر رضوان ينوي تمديد عقده عقد ه مع هانزا روستوك الى ما بعد 2002	NOUN X X VERB NOUN _ NOUN PRON ADP X X ADP DET ADP NUM
روستوك ( المانيا ) 15 - 8 ( أ ف ب ) - اكد لاعب الوسط الدولي المصري ياسر رضوان ( 28 عاما ) انه أن ه ينوي تمديد عقده عقد ه مع فريق هانزا روستوك الذي يلعب ضمن الدوري الالماني في كرة القدم لاندية ل أندية الدرجة الاولى الى ما بعد عام 2002 .	X PUNCT X PUNCT NUM PUNCT NUM PUNCT X X X PUNCT PUNCT VERB NOUN NOUN ADJ ADJ X X PUNCT NUM NOUN PUNCT _ SCONJ PRON VERB NOUN _ NOUN PRON ADP NOUN X X DET VERB ADP NOUN ADJ ADP NOUN NOUN _ ADP NOUN NOUN ADJ ADP DET ADP NOUN NUM PUNCT
وقال و قال رضوان في مقابلة صحافية نشرت اليوم الثلاثاء " ارغب في تمديد عقدي عقد ي الى ما بعد 2002 . المناخ جيد داخل النادي ونحن و نحن متفاهمون جدا فيما بيننا بين نا " .	_ CCONJ VERB X ADP NOUN ADJ VERB NOUN NOUN PUNCT X ADP NOUN _ NOUN PRON ADP DET ADP NUM PUNCT NOUN ADJ ADP NOUN _ CCONJ PRON X NOUN CCONJ _ ADP PRON PUNCT PUNCT
ويغيب و يغيب رضوان حاليا عن مباريات هانزا بسبب ب سبب تمزق في الرباط الصليبي ، وهو و هو يأمل بان ب أن يتماثل للشفاء ل الشفاء خلال فترة لا تتجاوز الشهر لمعاودة ل معاودة اللعب مع زملائه زملاء ه .	_ CCONJ VERB X ADJ ADP NOUN X _ ADP NOUN NOUN ADP NOUN ADJ PUNCT _ CCONJ PRON VERB _ ADP SCONJ VERB _ ADP NOUN ADP NOUN PART VERB NOUN _ ADP NOUN NOUN ADP _ NOUN PRON PUNCT
وكان و كان الدولي المصري قدم من بلدية المحلة الى هانزا عام 1996 لقاء نحو 250 الف دولار ، ولعب و لعب مع الاخير 101 مباراة ضمن الدوري سجل خلالها خلال ها 3 اهداف .	_ CCONJ VERB ADJ ADJ VERB ADP NOUN X ADP X NOUN NUM NOUN ADP NUM NUM NOUN PUNCT _ CCONJ VERB ADP ADJ NUM X ADP NOUN VERB _ ADP PRON NUM NOUN PUNCT
وزير الدفاع الروسي : روسيا باشرت عملية اخلاء الغواصة	NOUN NOUN ADJ PUNCT X VERB NOUN NOUN NOUN
موسكو 15 - 8 ( اف ب ) - نقلت وكالة انترفاكس للانباء ل الأنباء عن وزير الدفاع الروسي ايغور سيرغييف قوله قول ه ان البحرية الروسية باشرت بعد ظهر اليوم الثلاثاء عملية اجلاء 116 بحارا عالقين في الغواصة النووية الروسية " كورسك " على عمق 100 متر في قعر بحر بارنتس .	X NUM PUNCT NUM PUNCT X X PUNCT PUNCT VERB NOUN X _ ADP NOUN ADP NOUN NOUN ADJ X X _ NOUN PRON SCONJ NOUN ADJ VERB ADP NOUN NOUN NOUN NOUN NOUN NUM NOUN X ADP NOUN ADJ ADJ PUNCT X PUNCT ADP NOUN NUM NOUN ADP NOUN NOUN X PUNCT
الا ان قائد البحرية الروسية الاميرال فلاديمير كوروييدوف اوضح للتلفزيون ل التلفزيون ان عمليات " التحضير للانقاذ ل الإنقاذ " جارية في ظل هدوء العاصفة التي هبت في بحر بارنتس .	PART SCONJ NOUN NOUN ADJ NOUN X X VERB _ ADP NOUN SCONJ NOUN PUNCT NOUN _ ADP NOUN PUNCT ADJ ADP NOUN NOUN NOUN DET VERB ADP NOUN X PUNCT
وقال و قال ان عملية اجلاء البحارة بالمعنى ب المعنى الدقيق لن تبدأ قبل منتصف الليل ( 20،00 ت غ ) في افضل الظروف اذا استقرت الاحوال الجوية على هدوئها هدوء ها .	_ CCONJ VERB SCONJ NOUN NOUN NOUN _ ADP NOUN ADJ PART VERB ADP NOUN NOUN PUNCT NUM X X PUNCT ADP ADJ NOUN CCONJ VERB NOUN ADJ ADP _ NOUN PRON PUNCT
وكانت و كانت عملية اجلاء طاقم الغواصة ارجئت منذ الاثنين بسبب ب سبب هبوب العاصفة . واستغلت و استغلت فرق الانقاذ تراجع قوة الرياح بعد ظهر اليوم الثلاثاء لمباشرة ل مباشرة العملية التي لم تتوفر تفاصيل حول طبيعتها طبيعة ها .	_ CCONJ VERB NOUN NOUN NOUN NOUN VERB ADP NOUN _ ADP NOUN NOUN NOUN PUNCT _ CCONJ VERB NOUN NOUN NOUN NOUN NOUN ADP NOUN NOUN NOUN _ ADP NOUN NOUN DET PART VERB NOUN ADP _ NOUN PRON PUNCT
كما لم تصدر اي معلومات واضحة حول مصير افراد طاقم الغواصة ، ولكن و لٰكن تصريحات هيئة اركان الاسطول الروسي كانت متشائمة جدا حيال ذلك في الساعات الاخيرة .	CCONJ PART VERB ADJ NOUN ADJ ADP NOUN NOUN NOUN NOUN PUNCT _ CCONJ CCONJ NOUN NOUN NOUN NOUN ADJ AUX ADJ NOUN ADP DET ADP NOUN ADJ PUNCT
واعلن و أعلن الاميرال كوروييدوف خصوصا انه أن ه يخشى من " نتائج خطيرة " على حياة افراد الطاقم .	_ CCONJ VERB NOUN X NOUN _ SCONJ PRON VERB ADP PUNCT NOUN ADJ PUNCT ADP NOUN NOUN NOUN PUNCT
واضاف و أضاف الاميرال ان " امكانية التوصل الى مخرج ايجابي لعملية ل عملية الانقاذ تعود بصورة ب صورة كبيرة الى الوضع داخل الغواصة " التي غرق عدد كبير من مقصوراتها مقصورات ها ، حسبما قالت البحرية الروسية .	_ CCONJ VERB NOUN SCONJ PUNCT NOUN NOUN ADP NOUN ADJ _ ADP NOUN NOUN VERB _ ADP NOUN ADJ ADP NOUN ADP NOUN PUNCT DET VERB NOUN ADJ ADP _ ADJ PRON PUNCT CCONJ VERB NOUN ADJ PUNCT
واشار و أشار الى ان حياة البحارة ترتبط " بسلسلة ب سلسلة من العناصر " ، منها من ها " عدد المقصورات الغارقة وارتفاع و ارتفاع الضغط الجوي والحرارة و الحرارة ووضع و وضع احتياطات الهواء " .	_ CCONJ VERB ADP SCONJ NOUN NOUN VERB PUNCT _ ADP NOUN ADP NOUN PUNCT PUNCT _ ADP PRON PUNCT NOUN ADJ ADJ _ CCONJ NOUN NOUN ADJ _ CCONJ NOUN _ CCONJ NOUN NOUN NOUN PUNCT PUNCT
وعلى و على متن الغواصة " كورسك " مسؤولون كبار في هيئة اركان البحرية حسبما افاد الناطق باسم ب اسم البحرية الروسية الذي كان يتحدث لاذاعة ل إذاعة " اصداء موسكو " .	_ CCONJ ADP NOUN NOUN PUNCT X PUNCT NOUN ADJ ADP NOUN NOUN NOUN CCONJ VERB NOUN _ ADP NOUN ADJ ADJ DET VERB VERB _ ADP NOUN PUNCT X X PUNCT PUNCT
وقد و قد غرقت الغواصة " كورسك " السبت نتيجة انفجار على ما يبدو . ويقول و يقول الاميرال كوروييدوف ان " انفجارا في مقصورة الطوربيدات الاولى " اصاب الغواصة باضرار ب أضرار وادى و أدى الى غرقها غرق ها الى القاع .	_ CCONJ AUX VERB NOUN PUNCT X PUNCT NOUN NOUN NOUN ADP DET VERB PUNCT _ CCONJ VERB NOUN X SCONJ PUNCT NOUN ADP NOUN NOUN ADJ PUNCT VERB NOUN _ ADP NOUN _ CCONJ VERB ADP _ NOUN PRON ADP NOUN PUNCT
واشار و أشار نائب رئيس الوزراء الروسي ايليا كليبانوف الذي يرئس لجنة التحقيق التي شكلتها شكلت ها الحكومة اثر الحادث ، الى احتمال ان تكون الغواصة ارتطمت بلغم ب لغم بحري من مخلفات الحرب العالمية الثانية .	_ CCONJ VERB NOUN NOUN NOUN ADJ X X DET VERB NOUN NOUN DET _ VERB PRON NOUN ADP NOUN PUNCT ADP NOUN SCONJ VERB NOUN VERB _ ADP NOUN ADJ ADP ADJ NOUN ADJ ADJ PUNCT
ولم و لم تستبعد ايضا مع ذلك فرضية ارتطام الغواصة بسفينة ب سفينة اخرى .	_ CCONJ PART VERB ADV ADP DET NOUN NOUN NOUN _ ADP NOUN ADJ PUNCT
من جهة اخرى ، رفضت السلطات الروسية كل عروض المساعدة الخارجية ، الاميركية والبريطانية و البريطانية ، التي تهدف الى انقاذ الغواصة التي تحمل 24 صاروخا تسياريا غير مجهزة برؤوس ب رؤوس نووية على حد تعبير البحرية الروسية .	ADP NOUN ADJ PUNCT VERB NOUN ADJ NOUN NOUN NOUN ADJ PUNCT ADJ _ CCONJ ADJ PUNCT DET VERB ADP NOUN NOUN DET VERB NUM NOUN X NOUN ADJ _ ADP NOUN ADJ ADP NOUN NOUN NOUN ADJ PUNCT
وقد و قد غرقت الغواصة " كورسك " في منطقة تبعد 150 كلم عن قاعدة سيفيرومورسك الواقعة على 69،4 درجة شمال و 37،5 درجة شرق ، في منطقة دولية بين روسيا والنروج و النروج .	_ CCONJ AUX VERB NOUN PUNCT X PUNCT ADP NOUN VERB NUM X ADP NOUN X ADJ ADP NUM X X CCONJ NUM X X PUNCT ADP NOUN ADJ ADP X _ CCONJ PROPN PUNCT
وهذا و هٰذا الحادث الذي اصاب احدى احدث غواصات الاسطول الروسي والتي و التي كانت ستشارك س تشارك قريبا في الحملة الروسية الاولى في المتوسط منذ عشرة اعوام ، يعيد اثارة الجدال حول مستقبل كل الاسطول الروسي ويوجه و يوجه ضربة موجعة لروسيا ل روسيا بقيادة ب قيادة فلاديمير بوتين الذي يحاول استعادة وضعها وضع ها كقوة ك قوة بحرية عظمى .	_ CCONJ DET NOUN DET VERB NOUN ADJ NOUN NOUN ADJ _ CCONJ DET VERB _ AUX VERB ADJ ADP NOUN ADJ ADJ ADP ADJ ADP NUM NOUN PUNCT VERB NOUN NOUN ADP NOUN NOUN NOUN ADJ _ CCONJ VERB NOUN ADJ _ ADP X _ ADP NOUN X X DET VERB NOUN _ NOUN PRON _ ADP NOUN ADJ ADJ PUNCT
مكتب التحقيقات الباريسي : وقف رحلات كونكورد البريطانية يستند الى معلومات معروفة	NOUN NOUN ADJ PUNCT NOUN NOUN X ADJ VERB ADP NOUN ADJ
باريس 15 - 8 ( اف ب ) - افاد مصدر في مكتب تحقيقات الحوادث اليوم الثلاثاء ان القرار الذي اتخذته اتخذت ه شركة الخطوط الجوية البريطاينة " بريتيش ايرويز " بوقف ب وقف استخدام طائراتها طائرات ها الكونكورد يستند الى معلومات معروفة منذ الجمعة الماضي .	X NUM PUNCT NUM PUNCT X X PUNCT PUNCT VERB NOUN ADP NOUN NOUN NOUN NOUN NOUN SCONJ NOUN DET _ VERB PRON NOUN NOUN ADJ X PUNCT X X PUNCT _ ADP NOUN NOUN _ NOUN PRON X VERB ADP NOUN ADJ ADP NOUN ADJ PUNCT
واوضحت و أوضحت هيلين بستيانيللي رئيسة قسم الاعلام في المكتب المكلف التحقيق في حادث الطائرة الكونكورد الفرنسية التي تحطمت في 25 تموز / يوليو الماضي قرب باريس ان هذا القرار لم يكن الدافع اليه إلي ه اكتشاف عناصر جديدة .	_ CCONJ VERB X X NOUN NOUN NOUN ADP NOUN ADJ NOUN ADP NOUN NOUN X ADJ DET VERB ADP NUM NOUN PUNCT NOUN ADJ ADP X SCONJ DET NOUN PART AUX NOUN _ ADP PRON NOUN NOUN ADJ PUNCT
وقد و قد اعلنت شركة بريتيش ايرويز اليوم انها أن ها ستعلق س تعلق فورا كل رحلات طائراتها طائرات ها الكونكورد التي تزيد سرعتها سرعة ها عن سرعة الصوت بناء على توصية هيئات الملاحة الجوية .	_ CCONJ AUX VERB NOUN X X NOUN _ SCONJ PRON _ AUX VERB NOUN NOUN NOUN _ NOUN PRON X DET VERB _ NOUN PRON ADP NOUN NOUN X ADP NOUN NOUN NOUN ADJ PUNCT
بن عامي : الوقت مؤات لاجراء ل إجراء مفاوضات جدية	PROPN X PUNCT NOUN ADJ _ ADP NOUN NOUN ADJ
تل ابيب 15 - 8 ( اف ب ) - اعتبر وزير الخارجية الاسرائيلي بالوكالة ب الوكالة شلومو بن عامي اليوم الثلاثاء في تل ابيب ان الوقت بات ناضجا لاجراء ل إجراء محادثات سلام مع الفلسطينيين .	X X NUM PUNCT NUM PUNCT X X PUNCT PUNCT VERB NOUN NOUN ADJ _ ADP NOUN X PROPN X NOUN NOUN ADP X X SCONJ NOUN VERB ADJ _ ADP NOUN NOUN NOUN ADP NOUN PUNCT
وقال و قال بن عامي امام اللجنة السياسية لحزب ل حزب العمل " ان الوقت ناضج لاجراء ل إجراء مفاوضات جدية مع الفلسطينيين بعد ان ارجئت مسالة اعلان الدولة الفلسطينية ، واثر و إثر الحملات الدولية لياسر ل ياسر عرفات ( الرئيس الفلسطيني ) واسرائيل و إسرائيل " .	_ CCONJ VERB PROPN X ADP NOUN ADJ _ ADP NOUN NOUN PUNCT PART NOUN ADJ _ ADP NOUN NOUN ADJ ADP NOUN ADP SCONJ VERB NOUN NOUN NOUN ADJ PUNCT _ CCONJ ADP NOUN ADJ _ ADP NOUN X PUNCT NOUN ADJ PUNCT _ CCONJ NOUN PUNCT PUNCT
وزار و زار الزعيم الفلسطيني منذ فشل قمة كامب ديفيد في الخامس والعشرين و العشرين من تموز / يوليو الماضي نحو عشرين دولة . الا انه أن ه لم يتمكن على ما يبدو من الحصول على دعم واسع لاعلان ل إعلان الدولة الفلسطينية من طرف واحد .	_ CCONJ VERB NOUN ADJ ADP NOUN NOUN X X ADP ADJ _ CCONJ NUM ADP NOUN PUNCT NOUN ADJ ADP NUM NOUN PUNCT PART _ SCONJ PRON PART VERB ADP DET VERB ADP NOUN ADP NOUN ADJ _ ADP NOUN NOUN ADJ ADP NOUN ADJ PUNCT
كما تقوم اسرائيل من جهتها جهة ها بحملة ب حملة دبلوماسية مضادة لشرح ل شرح وجهة نظرها نظر ها لاسباب ل أسباب فشل قمة كامب ديفيد .	CCONJ VERB NOUN ADP _ NOUN PRON _ ADP NOUN ADJ ADJ _ ADP NOUN NOUN _ NOUN PRON _ ADP NOUN NOUN NOUN X X PUNCT
واشار و أشار بن عامي وعرفات و عرفات خلال الايام الاخيرة الى احتمال عقد قمة جديدة بين الفلسطينيين والاسرائيليين و الإسرائيليين .	_ CCONJ VERB PROPN X _ CCONJ NOUN ADP NOUN ADJ ADP NOUN NOUN NOUN ADJ ADP NOUN _ CCONJ NOUN PUNCT
وزير خارجية فنلندا مستعد للتوجه ل التوجه الى ليبيا لاستقبال ل استقبال الرهينتين الفلنديين	NOUN NOUN X ADJ _ ADP NOUN ADP X _ ADP NOUN NOUN X
هلسنكي 15 - 8 ( اف ب ) - اعلن متحدث باسم ب اسم وزارة الخارجية الفنلندية في هلسنكي ان وزير الخارجية اركي تيوميوجا سيتوجه س يتوجه الى طرابلس في حال نقل الرهينتين الفنلنديين من جولو ( الفيليبين ) الى ليبيا بعد الافراج عنهما عن هما .	X NUM PUNCT NUM PUNCT X X PUNCT PUNCT VERB NOUN _ ADP NOUN NOUN NOUN ADJ ADP X SCONJ NOUN NOUN X X _ AUX VERB ADP NOUN ADP NOUN NOUN NOUN ADJ ADP X PUNCT X PUNCT ADP X ADP NOUN _ ADP PRON PUNCT
وصرح و صرح متحدث في الوزارة لوكالة ل وكالة فرانس برس ان " الوزير سيكون س يكون من بين اعضاء الوفد المكلف استقبال الرهينتين الفنلنديين في المكان الذي سينقلان س ينقلان اليه إلي ه بما ب ما فيه في ه ليبيا " .	_ CCONJ VERB NOUN ADP NOUN _ ADP NOUN X X SCONJ PUNCT NOUN _ AUX VERB ADP ADP NOUN NOUN ADJ NOUN NOUN ADJ ADP NOUN DET _ AUX VERB _ ADP PRON _ ADP DET _ ADP PRON X PUNCT PUNCT
وبحسب و ب حسب الوزارة ، فان ف إن المفاوضات الجارية للافراج ل الإفراج عن الرهائن دخلت مرحلة دقيقة . وقالت و قالت الوزارة في بيان ان " كل شيء جاهز لاعادة ل إعادة الرهينتين الفنلنديين الى بلدهما بلد هما " .	_ CCONJ ADP ADP NOUN PUNCT _ CCONJ PART NOUN ADJ _ ADP NOUN ADP NOUN VERB NOUN ADJ PUNCT _ CCONJ VERB NOUN ADP NOUN SCONJ PUNCT NOUN NOUN ADJ _ ADP NOUN NOUN ADJ ADP _ NOUN PRON PUNCT PUNCT
وبين و بين الرهائن الذين تحتجزهم تحتجز هم مجموعة ابي سياف الاصولية الاسلامية منذ 23 نيسان / ابريل الماضي فنلنديان هما ريستو فاهانين ( 47 عاما ) الذي يعمل مهندسا وسيبو و سيبو فراينتي ( 51 عاما ) الذي يعد انشطة ترفيهية للاطفال ل الأطفال المعوقين في احد المستشفيات . وهما و هما جزء من مجموعة الرهائن الغربيين الذين اختطفوا في جزيرة سيبادان الماليزية في 23 نيسان / ابريل على ايدي متمردين فيليبينيين .	_ CCONJ ADP NOUN DET _ VERB PRON NOUN X X ADJ ADJ ADP NUM NOUN PUNCT NOUN ADJ ADJ X X X PUNCT NUM NOUN PUNCT X VERB NOUN _ CCONJ X X PUNCT NUM NOUN PUNCT X VERB NOUN ADJ _ ADP NOUN ADJ ADP NOUN NOUN PUNCT _ CCONJ PRON NOUN ADP NOUN NOUN ADJ DET VERB ADP NOUN X ADJ ADP NUM NOUN PUNCT NOUN ADP NOUN NOUN ADJ PUNCT
لبنان رفض عرضا بعشرين ب عشرين مليار دولار لتوطين ل توطين الفلسطينيين	X VERB NOUN _ ADP NUM NUM NOUN _ ADP NOUN NOUN
بيروت 15 - 8 ( اف ب ) - قال الرئيس اللبناني اميل لحود اليوم الثلاثاء انه إن ه رفض عرضا بعشرين ب عشرين مليار دولار اقترحته اقترحت ه " الجهات الدولية " لتوطين ل توطين اللاجئين الفلسطينيين في لبنان .	NOUN NUM PUNCT NUM PUNCT X X PUNCT PUNCT VERB NOUN ADJ X X NOUN NOUN _ SCONJ PRON VERB NOUN _ ADP NUM NUM NOUN _ VERB PRON PUNCT NOUN ADJ PUNCT _ ADP NOUN NOUN ADJ ADP NOUN PUNCT
وكشف و كشف لحود في حوار مع صحيفة " النهار " اللبنانية " ان الجهات الدولية طرحت على لبنان 20 مليار دولار ثمنا لتوطين ل توطين الفلسطينيين في لبنان . لقد رفضنا ذلك . وهذا و هٰذا الرقم يوازي الدين العام المترتب على لبنان . وهذا و هٰذا الدين هو احد العوامل المهمة في الضغوط التي تمارس علينا علي نا " .	_ CCONJ VERB X ADP NOUN ADP NOUN PUNCT X PUNCT ADJ PUNCT SCONJ NOUN ADJ VERB ADP NOUN NUM NUM NOUN NOUN _ ADP NOUN NOUN ADP NOUN PUNCT X X X PUNCT _ CCONJ DET NOUN VERB NOUN ADJ ADJ ADP NOUN PUNCT _ CCONJ DET NOUN PRON NOUN NOUN ADJ ADP NOUN DET VERB _ ADP PRON PUNCT PUNCT
واضاف و أضاف لحود " هناك بعض السياسيين المستعدين للمضي ل المضي في مشروع التوطين وان كانوا يعلنون عكس ذلك " .	_ CCONJ VERB X PUNCT ADV NOUN NOUN ADJ _ ADP NOUN ADP NOUN NOUN X VERB VERB NOUN DET PUNCT PUNCT
واوضح و أوضح ان " الاجماع الشعبي اللبناني - الفلسطيني على رفض التوطين عنصر لا يمكن لاحد ل أحد ان لا يأخذه يأخذ ه في الاعتبار " .	_ CCONJ VERB SCONJ PUNCT NOUN ADJ ADJ PUNCT ADJ ADP NOUN NOUN NOUN PART VERB _ ADP NOUN SCONJ PART _ VERB PRON ADP NOUN PUNCT PUNCT
وقالت و قالت الصحيفة ان الرئيس لحود رأى ان " صلابة الموقف اللبناني ستتم س تتم ترجمتها ترجمة ها لمصلحة ل مصلحة الاجماع اللبناني - الفلسطيني في رفض التوطين فهنالك ف هنالك بحث في العمق في ايجاد حلول لمشكلة ل مشكلة اللاجئين عبر صيغة + جمع شمل + " العائلات .	_ CCONJ VERB NOUN SCONJ NOUN X VERB SCONJ PUNCT NOUN NOUN ADJ _ AUX VERB _ NOUN PRON _ ADP NOUN NOUN ADJ PUNCT ADJ ADP NOUN NOUN _ CCONJ ADV NOUN ADP NOUN ADP NOUN NOUN _ ADP NOUN NOUN ADP NOUN SYM NOUN NOUN SYM PUNCT NOUN PUNCT
واوضح و أوضح لحود ان هذه الصيغة التي عرضت خلال قمة كامب ديفيد ( 11 الى 25 تموز / يوليو ) الاسرائيلية - الفلسطينية " تناقش في الكواليس كما نوقشت في قمة كامب ديفيد . وهذا و هٰذا يكشف الترابط الوثيق بين الحلقات اللبنانية والسورية و السورية والفلسطينية و الفلسطينية " .	_ CCONJ VERB X SCONJ DET NOUN DET VERB ADP NOUN X X PUNCT NUM ADP NUM NOUN PUNCT NOUN PUNCT ADJ PUNCT ADJ PUNCT VERB ADP NOUN CCONJ X ADP NOUN X X PUNCT _ CCONJ DET VERB NOUN ADJ ADP NOUN ADJ _ CCONJ ADJ _ CCONJ ADJ PUNCT PUNCT
ويقيم و يقيم في لبنان نحو 400 الف فلسطيني غالبيتهم غالبية هم من المناطق الفلسطينية التي اقيمت فيها في ها دولة اسرائيل في 1948 .	_ CCONJ VERB ADP NOUN ADP NUM NUM NOUN _ NOUN PRON ADP NOUN ADJ DET VERB _ ADP PRON NOUN NOUN ADP NUM PUNCT
بوتفليقية وخاتمي و خاتمي يلتقيان في ايلول / سبتمبر في نيويورك	X _ CCONJ NOUN VERB ADP NOUN PUNCT NOUN ADP X
